DARACOD;AREA;REPUESTAS;Nota directa;Nota transformada;Aciertos;Errores;Blancos;Dobles;PRUEBA;
168300;1;DBA   BCA ? CBBAACAE  D   AE   DBE  DE  B  EEEBEEDCCBBDCABDD ABD A  E     BEEDCBBCAEBDDCDD BBAACACCB;158,99000;0,00000;27;43;29;1;DBA...BCA.?.CBBAACAE..D...AE...DBE..DE..B..EEEBEEDCCBBDCABDD.ABD.A..E.....BEEDCBBCAEBDDCDD.BBAACACCB;
168214;1;DAADBCDCACDBCDBBCBBEADCACCEEBEDBCADEAE BAEBCABCDBDCBABDCCCCAEBBEABACEDBCCDDCDACCBCEBCDDDCDBBEBECBBDE;290,50000;0,00000;49;50;1;0;DAADBCDCACDBCDBBCBBEADCACCEEBEDBCADEAE.BAEBCABCDBDCBABDCCCCAEBBEABACEDBCCDDCDACCBCEBCDDDCDBBEBECBBDE;
168216;1;EACBBDCDACDACEBAACBEADAAEAEEBECBBACBBEEDADABEBADAECCABBCBBCACEEABAADEEDAECDAEABCBCCBCEAECDEBDCECBBAD;369,34000;0,00000;62;38;0;0;EACBBDCDACDACEBAACBEADAAEAEEBECBBACBBEEDADABEBADAECCABBCBBCACEEABAADEEDAECDAEABCBCCBCEAECDEBDCECBBAD;
168219;1;DBCCCBBAADBDBCBDADCEAAEEDDEECDEDBEBACEECDACAEBBABDECAACBCEDBEABBDCAADEECBCAEDBAABBCEEEDCCDDEDBEBDCBD;175,10000;0,00000;30;70;0;0;DBCCCBBAADBDBCBDADCEAAEEDDEECDEDBEBACEECDACAEBBABDECAACBCEDBEABBDCAADEECBCAEDBAABBCEEEDCCDDEDBEBDCBD;
168279;1;EAAADC AACDEBEDDCBAEDDDEDCAEDDABCDDCDDDCDEDDBABDBDDEABBECCCCECCBEDDBDDD CDEDDA DBDDEDEADDDEEDAACDEEB;163,17000;0,00000;28;69;3;0;EAAADC.AACDEBEDDCBAEDDDEDCAEDDABCDDCDDDCDEDDBABDBDDEABBECCCCECCBEDDBDDD.CDEDDA.DBDDEDEADDDEEDAACDEEB;
168220;1;CBAEEAADAAAECCBAADBECADBDACEBADCBDBEEECDBDBDAABCBEEAADDCABEBEABACDBDCACBADAADACEBCABDEAECDAADCBBDCDB;156,89000;0,00000;27;73;0;0;CBAEEAADAAAECCBAADBECADBDACEBADCBDBEEECDBDBDAABCBEEAADDCABEBEABACDBDCACBADAADACEBCABDEAECDAADCBBDCDB;
168278;1;EDBEDDEAAACEDCCCDDCEDADCAACAAEDDEABADABBBCCAACADDAEACBDEABDBEACEBDCDECBACE CDACEBCBDAEDECDBEDADCDEDE;150,89000;0,00000;26;73;1;0;EDBEDDEAAACEDCCCDDCEDADCAACAAEDDEABADABBBCCAACADDAEACBDEABDBEACEBDCDECBACE.CDACEBCBDAEDECDBEDADCDEDE;
168223;1;EAB DDBACDDDAEEBACDEEADABACEBEDBDAE DEDBADCCBB ECDAEABBCECACEBBCA CCE CEECDEDBBAACECEEADCDDBDADCBEDC;278,64000;0,00000;47;48;5;0;EAB.DDBACDDDAEEBACDEEADABACEBEDBDAE.DEDBADCCBB.ECDAEABBCECACEBBCA.CCE.CEECDEDBBAACECEEADCDDBDADCBEDC;
168225;1;AABAAAAAEEAEEBCCACEADABEACBEAABBBEDEADBDEDACABDEACEACCDBCDADACEDBDACABECBDBEBAAEBAEBACDEBEDACBECBECA;120,47000;0,00000;21;79;0;0;AABAAAAAEEAEEBCCACEADABEACBEAABBBEDEADBDEDACABDEACEACCDBCDADACEDBDACABECBDBEBAAEBAEBACDEBEDACBECBECA;
168292;1;AADDCECDBDAEBDCBACBEABDCEDAADECAEACEEEBBDEBACAAEBDADACBCECAECDABADCDDCBCEDDDEEAADBECABCDBDCADABCBECB;181,17000;0,00000;31;69;0;0;AADDCECDBDAEBDCBACBEABDCEDAADECAEACEEEBBDEBACAAEBDADACBCECAECDABADCDDCBCEDDDEEAADBECABCDBDCADABCBECB;
168276;1;DADADB DECDABBBAACCEADCACACEBECABABCDEEBBA CBABDBDCCABCCBCBDECBBB EBE DDDDCECDBCACABABADCDDBDAECBBAA;314,99000;0,00000;53;43;4;0;DADADB.DECDABBBAACCEADCACACEBECABABCDEEBBA.CBABDBDCCABCCBCBDECBBB.EBE.DDDDCECDBCACABABADCDDBDAECBBAA;
168291;1;EAAADCECCDCDCABDACCDEBEA ECEBECBEAEBDEDDAACBECCBCEEAABAEECBCEABDABCBBDCACBDDDDDEBBDECEABBDCBBBBCAB  ;187,45000;0,00000;32;65;3;0;EAAADCECCDCDCABDACCDEBEA.ECEBECBEAEBDEDDAACBECCBCEEAABAEECBCEABDABCBBDCACBDDDDDEBBDECEABBDCBBBBCAB..;
168277;1; ABBAADACDBECABCDCAEBCBCBACABDEEDECBACCBEACBAABBDACBAABCACACBADBCABCBCDECAADBCCAB BC AA BD E E  C BB;145,38000;0,00000;25;66;9;0;.ABBAADACDBECABCDCAEBCBCBACABDEEDECBACCBEACBAABBDACBAABCACACBADBCABCBCDECAADBCCAB.BC.AA.BD.E.E..C.BB;
168290;1;EBACDCCAAEDCBBBCACAEECBCAAEDCEAAECDABACBAEBDEAAACCBDBBDCAEAEAAADEDCDBCDBCCCEBECEDCEBEECCCDCDDAACDEBA;175,10000;0,00000;30;70;0;0;EBACDCCAAEDCBBBCACAEECBCAAEDCEAAECDABACBAEBDEAAACCBDBBDCAEAEAAADEDCDBCDBCCCEBECEDCEBEECCCDCDDAACDEBA;
168289;1;EAECAACCCDDEBCBCCCEEBD BEBCEBEEABABC E CAACCEBBDEECBABEEACD EBBADDBEADC BDDADDDCBCCCDBEDADCAADECDDCB;199,73000;0,00000;34;61;5;0;EAECAACCCDDEBCBCCCEEBD.BEBCEBEEABABC.E.CAACCEBBDEECBABEEACD.EBBADDBEADC.BDDADDDCBCCCDBEDADCAADECDDCB;
168288;1;EABADEBDACDCCEDBADCEADBACACEBECABACECE EAAECEBBABDCDADACBDCDBCAEBDABECDBECCBECECBCCBBEADCDDBDAECDCCD;442,25000;0,00000;74;25;1;0;EABADEBDACDCCEDBADCEADBACACEBECABACECE.EAAECEBBABDCDADACBDCDBCAEBDABECDBECCBECECBCCBBEADCDDBDAECDCCD;
168275;1;DBDDAEBEEACDBBBDACCBDCBCDBBDACDDB BEBCDEADDBABABCCEDABBCBCCDBCDDAECDCBACADDDEDEDBBBACEADAD BDDECBEBD;193,45000;0,00000;33;65;2;0;DBDDAEBEEACDBBBDACCBDCBCDBBDACDDB.BEBCDEADDBABABCCEDABBCBCCDBCDDAECDCBACADDDEDEDBBBACEADAD.BDDECBEBD;
